,subsr,asset_nm,use_tms_true,strt_dt_true,preview_true,use_tms_false,strt_dt_false,preview_false
0,60320000,1947 보스톤,60,2024-03-09 18:20:10,True,165,2024-03-15 22:16:31,False
1,60326000,마이데몬,60,2024-03-26 20:57:11,True,70879,2024-03-26 20:58:20,False
2,60593000,레트리뷰션,60,2024-02-08 06:37:05,True,5294,2024-02-10 04:17:09,False
3,60593000,메가로돈 2,120,2024-01-09 10:26:30,True,6387,2024-01-09 10:29:43,False
5,61173000,스토커,60,2024-03-13 14:27:42,True,8311,2024-03-13 15:09:03,False
6,61705000,몸으로 안아줘-상사의 아내,60,2024-01-07 15:39:48,True,862,2024-01-11 00:18:36,False
7,61705000,발정난 가정부언니: 굶주렸어요,60,2024-03-11 00:27:20,True,1116,2024-03-11 00:29:14,False
8,62353000,심야괴담회,3838,2024-01-27 12:50:01,True,5150,2024-01-27 13:54:35,False
10,62403000,서울의 봄,19,2024-02-09 18:06:55,True,4471,2024-02-09 19:45:01,False
11,62421000,세 번째 결혼,1740,2024-03-19 23:08:53,True,164345,2024-01-27 19:39:36,False
13,62701000,맨인블랙박스,1980,2024-03-02 22:09:38,True,10140,2024-03-02 21:35:59,False
14,63101000,옥수역귀신,60,2024-03-13 21:58:54,True,9600,2024-03-13 22:06:56,False
15,63101000,적인걸: 음양사,44,2024-03-18 15:46:20,True,9670,2024-03-18 15:48:17,False
17,63748000,남편이 보고 있어요 : 젖은 하루,60,2024-03-28 14:29:02,True,2474,2024-03-28 14:30:49,False
18,63748000,내 위에서 놀아난 며느리,120,2024-01-14 14:54:20,True,1787,2024-01-14 14:55:56,False
19,63748000,너무 급한 며느리,180,2024-01-04 17:15:08,True,1828,2024-01-04 17:18:01,False
20,63748000,단 한발에 임신한 이복 여동생 무삭제판,60,2024-03-11 13:23:16,True,0,2024-03-11 13:25:14,False
21,63748000,당신 용서하세요,60,2024-01-14 14:04:00,True,2421,2024-01-14 14:05:44,False
22,63748000,며느리 완전 정복!,60,2024-01-04 18:03:25,True,1304,2024-01-04 18:05:02,False
24,63748000,발정난 새엄마 한 번으론 모자라,60,2024-03-28 14:13:41,True,2290,2024-03-28 15:15:07,False
